NO_RES,RES_GND,RES_AGE,RES_GEN,RES_NAT,RES_REL,RES_MAR,RES_EDU,RES_EMP,FAM_STA,SUM_FAM_SIZ,FAM_INC,FAM_EXP_WAT,FAM_EXP_SUM,WCM_BOI,WCM_FIL,WCM_MAC,DWP_QUA,DWP_LIM,DWP_FIN,DWP_INF,DWP_SIC,TOT_WAT_CON_1
1,1,53,1,1,1,1,2,1,2,4,25000,300,12650,1,1,2,2,2,2,2,2,2000
2,2,39,2,1,1,1,4,4,1,3,35000,1200,35200,1,1,2,1,2,1,1,1,2000
3,2,26,2,3,4,2,4,2,1,3,60000,300,41300,2,2,2,2,2,2,2,2,2050
4,2,40,1,1,1,1,3,2,2,5,17500,400,25600,1,1,2,1,1,1,1,1,1000
5,2,35,1,1,1,1,4,2,1,3,25000,310,15500,1,1,1,1,1,1,1,2,1000
6,2,34,2,1,1,2,3,4,1,1,14000,1200,7200,2,2,2,2,1,2,2,2,4500
7,1,73,1,1,1,1,3,4,1,2,10000,250,8650,1,1,2,1,1,2,1,2,1000
8,2,70,1,1,1,1,3,4,1,1,8000,150,7650,1,1,2,1,1,1,1,2,1000
9,1,37,2,1,1,1,3,4,1,3,25000,500,19500,1,2,2,2,2,1,1,2,1000
10,2,58,1,1,1,1,1,3,2,5,40000,350,24150,1,2,2,1,1,1,1,2,1000
11,2,68,1,1,1,1,2,4,1,5,30000,350,27850,1,1,2,1,1,1,2,2,1000
12,2,17,2,1,1,2,4,1,1,4,45000,350,34850,1,2,2,1,1,2,1,2,2000
13,2,36,2,3,4,2,4,2,1,4,70000,400,60400,2,2,1,2,2,2,2,2,2000
14,1,43,1,1,1,1,3,4,1,3,60000,400,34400,1,1,2,1,2,1,1,1,420
15,1,59,1,1,1,1,3,2,2,4,35000,250,26050,1,2,2,1,1,1,1,1,270
16,1,37,1,1,1,1,4,1,1,4,60000,250,42750,1,1,2,1,1,1,1,1,420
17,1,53,1,1,1,1,3,3,2,4,50000,200,48700,1,1,2,2,2,2,2,2,540
19,1,56,2,1,1,1,3,3,2,2,60000,250,48250,1,2,2,1,1,1,1,1,480
20,1,59,1,1,1,1,1,3,2,2,20000,500,17000,1,2,2,2,1,1,2,2,1290
21,1,67,1,1,1,1,3,4,1,2,20000,250,16250,1,1,2,2,1,1,1,2,150
22,1,36,1,1,1,1,3,3,2,6,60000,250,49250,2,2,2,2,2,2,2,2,90
23,1,50,2,1,1,1,3,3,1,2,25000,200,22700,1,2,2,1,1,1,1,2,480
24,1,25,1,1,1,1,3,2,1,3,50000,300,37300,1,2,2,1,1,1,1,2,1200
25,1,55,1,1,1,1,1,3,2,3,35000,300,12300,1,2,2,1,1,1,1,2,480
26,1,70,1,1,1,1,4,3,1,2,15000,310,16500,1,1,2,1,1,1,1,2,600
27,1,45,1,1,1,1,3,3,1,3,35000,400,32400,1,2,2,1,1,2,2,2,480
28,1,52,1,1,1,1,3,3,1,5,40000,500,34000,1,2,1,1,2,2,2,2,720
30,1,25,1,1,1,1,4,1,1,3,40000,300,35300,1,2,1,1,1,2,2,2,440
31,1,35,1,1,1,1,3,3,1,2,30000,500,24500,1,2,2,1,2,2,2,2,840
32,1,54,1,1,1,1,5,1,1,5,80000,500,45500,1,2,1,1,2,2,1,2,2000
33,1,65,2,1,1,1,3,4,1,1,10000,1500,11500,1,2,2,1,1,1,1,2,660
34,1,65,2,1,1,1,3,3,2,6,20000,500,16000,1,2,2,1,2,1,1,2,1500
35,1,52,2,1,1,1,2,3,1,2,10000,300,9000,1,2,2,1,2,2,2,2,840
36,1,43,1,1,1,1,4,3,1,5,60000,500,38000,1,2,2,1,2,2,1,2,1200
37,1,42,1,1,1,1,3,4,2,6,60000,300,43300,1,2,2,1,2,1,1,2,2000
38,1,68,1,1,1,1,3,4,1,2,20000,310,9635,1,1,2,2,1,1,1,2,1400
39,1,37,1,1,1,1,5,1,1,3,80000,800,21300,1,2,2,2,1,2,1,2,2400
40,1,60,2,1,1,1,4,1,2,6,20000,700,69400,1,2,2,1,1,1,1,2,1000
41,1,43,1,1,1,1,4,3,1,3,15000,350,17650,1,2,2,1,1,1,1,1,1000
42,1,53,2,1,1,1,4,3,2,5,50000,600,38300,1,2,1,2,1,1,1,2,3600
43,1,45,2,1,1,1,4,1,1,3,50000,800,36800,2,2,1,1,1,1,1,1,1500
44,1,73,2,1,1,1,4,1,1,4,25000,800,16800,1,1,1,1,1,1,1,2,1500
45,1,65,1,1,1,2,4,4,2,3,8000,80,31380,1,2,2,1,2,1,2,1,1000
46,1,44,1,1,1,2,3,3,1,4,50000,300,36300,1,1,1,2,2,2,1,2,1505
47,1,75,2,1,1,1,2,4,1,2,15000,200,19900,1,2,2,1,1,1,1,2,305.49
48,2,53,1,1,1,2,3,3,1,4,20000,500,46500,1,1,1,1,1,1,1,2,533.332
49,2,50,2,1,1,2,4,3,2,5,10000,700,43700,1,2,2,2,2,1,1,2,2642.4
50,1,58,1,1,1,1,4,1,1,4,45000,310,32500,1,2,2,2,2,2,2,2,2171.4
51,1,44,2,1,1,1,3,1,2,3,54000,450,60450,1,2,2,1,2,2,1,2,1071.42
52,1,63,2,1,1,1,2,4,1,4,8500,300,32600,1,2,2,1,1,1,1,1,1500
53,1,50,1,1,1,1,4,4,1,5,20000,700,34700,1,2,2,1,1,1,1,2,5066.66
54,2,52,2,1,1,1,4,4,2,5,50000,600,43300,1,2,2,1,1,1,1,2,4600
55,2,50,2,1,1,1,4,4,1,3,50000,700,42700,1,2,2,1,1,1,1,2,2000
56,1,54,1,1,1,1,4,3,1,3,36000,300,31800,1,1,2,2,2,1,2,2,750
57,1,68,1,1,1,1,1,1,1,3,18000,310,32000,1,1,2,2,2,2,2,2,1000
58,1,62,2,1,1,1,1,3,1,3,50000,350,38950,1,2,2,2,2,1,2,2,600
59,1,61,2,1,1,1,2,3,1,3,41000,310,33600,1,2,2,2,2,2,1,2,480
60,1,43,1,1,1,1,3,4,2,5,70000,730,41230,1,2,2,2,2,1,2,2,400
61,1,18,2,1,1,2,4,1,2,6,80000,310,35000,1,2,2,2,1,2,2,2,1644
62,1,41,1,1,1,1,4,1,2,6,50000,310,57500,1,2,2,2,2,2,1,2,0
63,6,73,1,1,1,3,2,4,2,1,700,310,4650,1,2,2,2,1,2,2,2,288
64,6,32,1,1,1,1,4,2,2,4,75000,310,33000,1,2,2,2,1,2,2,2,0
65,6,60,2,1,1,1,3,1,1,3,80000,310,41800,1,2,1,2,1,2,1,2,21
66,6,46,1,1,1,2,4,1,1,4,60000,310,36500,1,2,1,2,2,2,2,2,21
67,6,62,1,1,1,1,4,1,1,3,75000,310,36500,1,1,2,2,2,2,2,2,1000.5
68,3,68,1,1,1,1,2,2,1,2,2000,310,13000,1,1,2,1,2,2,2,2,1000
70,1,79,1,1,1,1,1,4,1,1,7500,310,20600,1,2,2,1,1,2,2,2,2000
71,1,67,1,1,1,2,1,4,1,1,7500,310,7250,1,2,2,1,2,2,1,2,1000
72,1,56,1,1,1,1,3,2,1,4,30000,310,23250,1,2,2,2,1,2,2,2,1000
73,1,50,1,1,1,1,3,4,1,3,15000,220,9920,2,2,1,1,1,2,1,2,2000
76,6,24,2,1,1,1,2,2,1,3,30000,310,23000,1,2,2,2,1,2,2,2,1648
77,3,55,2,1,1,1,1,4,1,3,75000,310,43200,2,2,2,2,2,2,2,2,480
78,1,53,1,1,1,1,4,1,2,5,40000,310,60000,1,2,1,1,2,2,2,2,2040
79,6,35,1,1,1,1,3,1,2,4,55000,550,23050,1,2,2,2,1,2,2,2,1000
84,1,63,1,1,1,1,2,3,1,2,35000,700,28100,2,2,1,2,2,2,2,2,540
86,1,73,2,1,1,1,3,3,1,2,29000,310,25500,1,2,2,2,2,2,1,2,240
87,1,43,1,1,1,1,3,2,2,5,35000,210,21910,2,2,2,2,2,2,2,2,3200
88,1,80,2,1,1,1,1,3,1,2,40000,310,5200,2,2,2,2,1,2,1,2,270
89,1,66,2,1,1,1,2,3,1,5,15000,310,8000,2,2,2,1,1,2,2,2,400
90,1,27,1,1,1,2,5,1,1,4,40000,310,23000,1,2,2,2,2,2,2,2,1000
91,1,23,2,1,1,2,4,4,1,5,60000,310,45000,1,2,1,1,1,2,1,2,420
92,3,68,1,1,1,2,2,1,1,2,10000,310,20000,1,2,2,1,1,1,2,2,0
93,1,48,1,1,1,1,3,3,1,4,6000,310,10000,1,2,2,2,2,2,2,2,600
95,1,41,1,1,1,1,3,1,1,5,40000,310,50000,2,2,2,1,2,1,1,2,2000
100,1,27,1,1,1,1,4,1,1,4,50000,310,25800,1,2,2,2,2,2,2,2,2000
101,1,30,1,1,1,1,4,2,2,5,75000,310,257000,1,2,2,2,2,2,2,2,1000
102,1,50,2,1,1,1,1,1,1,5,40000,310,35500,2,2,2,2,2,2,2,2,1500
103,1,56,2,1,1,1,2,3,2,6,50000,1000,36000,2,2,2,2,2,2,2,2,1500
108,1,21,1,1,1,1,4,3,1,4,60000,800,37300,2,2,2,2,2,2,2,2,1250
109,1,30,1,1,1,1,3,3,1,4,30000,300,20400,2,2,2,2,2,2,2,2,1000
110,1,62,1,1,1,1,4,3,2,4,20000,310,34500,1,2,2,2,2,2,2,2,3200
111,1,27,2,1,1,2,4,3,1,5,40000,200,62200,1,2,1,2,2,2,1,2,15000
112,1,47,2,1,1,1,3,1,1,6,100000,310,64800,1,2,2,2,2,2,1,2,30000
113,1,74,1,1,1,1,3,4,1,4,40000,300,25500,1,2,2,2,2,2,1,2,35000
118,1,47,2,1,1,1,3,1,2,6,45000,310,64800,1,2,2,2,2,2,1,2,30000
123,1,42,2,1,1,1,4,1,2,5,85000,400,27400,1,2,2,1,1,2,2,2,2025
124,1,57,2,1,1,1,2,1,1,3,90000,200,34200,2,2,2,1,2,2,1,2,4040
125,1,50,1,1,1,1,2,3,2,3,80000,310,68500,2,2,1,1,1,2,2,2,3040
126,1,52,1,1,1,1,3,4,2,5,23000,1450,19450,1,1,1,1,1,2,1,2,2200
127,1,96,2,1,1,1,1,4,2,3,20000,200,17200,1,2,2,1,1,2,1,2,2080
132,1,37,1,1,1,1,2,1,1,3,45000,400,31900,1,2,1,1,1,2,1,2,600
135,1,43,1,1,1,1,3,4,2,5,35000,310,22000,1,2,2,2,1,2,1,2,20500
136,1,75,1,1,1,1,2,3,2,3,30000,310,12300,1,2,2,2,2,1,1,2,7500
137,1,46,2,1,1,1,3,4,1,4,40000,300,19000,1,2,2,2,2,2,1,1,17000
138,1,54,1,1,1,1,4,4,2,6,45000,300,17300,1,2,2,1,2,2,1,2,17400
139,1,57,2,1,1,1,2,4,1,2,23000,310,10300,1,2,2,2,2,1,1,2,9000
144,1,60,2,1,1,1,3,1,1,3,50000,400,34400,1,2,2,1,1,1,1,1,5000
145,1,34,1,1,1,1,5,3,2,4,100000,300,45800,1,2,2,1,1,1,1,1,5000
149,1,42,1,1,1,1,4,1,1,3,55000,500,44500,1,2,1,1,1,1,1,1,14000
150,1,25,1,1,1,1,4,3,1,3,45000,80,29080,1,2,2,1,2,2,1,2,18000
151,1,60,2,1,1,1,4,4,1,4,50000,300,22400,1,2,2,1,1,2,1,2,7000
155,1,67,2,1,1,1,3,1,1,3,30000,500,59500,1,1,2,1,2,2,2,2,5500
157,1,63,1,1,1,1,4,3,1,6,30000,150,34250,1,2,2,1,2,2,2,2,1750
159,1,57,1,1,1,1,3,1,1,4,10000,250,37250,1,2,2,1,2,2,2,2,5300
160,1,50,1,1,1,1,4,4,1,4,55000,200,36200,1,2,2,2,2,2,1,2,35000
161,1,37,2,1,1,1,5,2,1,4,75000,200,32200,1,2,1,1,2,2,2,2,20000
166,1,64,2,1,1,1,3,3,2,7,20000,500,3200,1,2,1,2,1,1,1,2,1000
167,1,61,1,1,1,1,2,2,2,6,15000,140,11265,1,2,2,2,1,2,2,2,2000
168,1,39,2,1,1,1,3,4,2,5,10000,150,5350,1,2,2,2,1,1,2,2,1000
169,1,69,1,1,1,1,1,3,2,6,25000,250,17250,1,2,2,2,1,2,2,2,1510
170,4,40,1,1,1,1,4,2,2,7,35000,310,16500,1,2,2,2,2,2,2,2,0
171,1,50,1,1,1,1,4,1,1,4,40000,4000,101000,1,2,2,2,2,2,2,2,3600
172,1,75,2,1,1,1,3,2,2,5,30000,250,24250,1,2,2,2,1,1,1,2,1250
173,1,37,1,1,1,1,4,1,1,4,40000,200,50850,1,2,2,2,1,1,1,2,3800
174,1,78,2,1,1,1,3,4,2,6,40000,250,96370,1,2,1,2,1,2,1,2,4200
175,4,42,1,1,1,1,3,2,1,4,25000,310,11350,1,2,2,2,1,1,2,2,1900
176,1,37,2,1,1,1,4,1,1,3,40000,700,45500,1,2,2,1,2,2,1,2,1000
177,1,20,1,1,1,2,4,1,1,4,100000,500,67500,1,2,1,1,2,2,1,2,1600
178,4,42,1,1,1,1,3,2,2,5,50000,310,40000,1,1,2,2,2,2,2,2,1000
179,2,63,1,1,1,1,3,1,2,6,70000,300,43800,1,1,2,1,2,2,1,2,2120
180,5,59,2,1,1,1,3,3,1,2,25000,310,17600,2,2,2,1,2,2,1,2,3200
181,1,52,1,1,1,1,3,3,1,3,30000,1000,31900,1,2,2,2,1,2,1,2,2000
182,1,54,1,1,1,1,3,3,2,8,100000,800,50800,1,2,1,1,1,1,1,2,4000
183,2,52,2,1,1,2,2,3,1,1,20000,150,13650,1,2,2,1,2,2,1,2,2400
184,2,31,1,1,1,1,3,3,1,5,30000,300,24800,1,2,2,1,2,2,1,1,3000
185,3,52,1,1,1,1,3,3,1,2,56000,350,60350,1,1,2,1,2,2,1,2,2500
186,4,45,1,1,1,1,3,4,2,2,100000,310,30000,2,2,2,2,2,2,2,2,7000
187,4,45,2,1,1,1,4,2,1,4,40000,1500,79500,2,2,1,2,2,2,2,2,3000
189,4,33,1,1,1,1,3,4,1,5,40000,1500,72500,1,2,2,2,2,2,2,2,4500
193,4,40,2,1,1,1,3,3,1,4,100000,1000,68000,1,2,2,2,2,2,2,2,3000
194,4,40,1,1,1,1,4,2,1,4,30000,310,23000,1,2,2,2,2,2,2,2,3000
195,1,90,2,1,1,1,1,4,2,2,25000,250,9250,1,2,2,2,1,1,2,2,840
196,1,24,1,2,1,3,4,3,1,5,40000,250,71250,1,2,1,2,1,2,1,2,5000
197,4,27,1,1,1,1,4,4,2,5,50000,250,85250,1,2,1,2,2,2,1,2,1000
198,2,69,2,1,1,1,1,4,1,2,10000,310,24000,1,2,2,2,1,1,2,2,1000
199,1,51,1,1,1,1,3,3,1,4,20000,200,15200,1,2,2,2,1,2,2,2,5000
200,1,40,2,1,1,1,4,3,1,5,35000,300,22300,1,2,2,2,1,2,2,2,12000
201,2,64,2,1,1,1,2,3,2,6,20000,300,13700,1,2,2,2,1,2,2,2,2000
202,4,29,1,1,1,1,4,4,2,4,60000,500,39100,1,2,2,1,2,2,1,2,1400
203,1,63,1,1,1,1,1,4,2,5,15000,200,10000,1,2,2,1,1,1,1,2,2800
204,2,48,1,1,1,1,3,2,1,4,80000,600,43600,1,2,1,1,2,2,1,2,1000
205,1,35,2,1,1,1,3,1,1,5,84000,250,124250,1,2,2,2,2,1,1,2,4000
206,1,38,1,1,1,1,3,1,1,5,30000,230,23530,1,2,2,2,1,1,1,2,2000
207,2,74,2,3,4,1,2,2,1,2,30000,300,31100,1,2,2,2,2,2,1,2,4000
208,1,34,1,1,1,1,4,3,1,3,40000,250,21850,1,2,2,2,1,2,2,2,4000
209,2,57,1,1,1,1,3,3,1,2,20000,500,17200,1,2,2,2,1,2,2,2,8000
211,2,64,1,1,1,1,3,4,1,2,20000,200,15000,1,2,2,1,2,2,2,2,2000
212,2,54,1,1,1,1,3,1,1,5,40000,600,40400,1,2,2,1,1,1,1,2,1001
213,2,33,1,1,1,1,3,4,1,5,30000,150,30650,2,2,2,1,2,2,2,2,2000
214,1,38,1,1,1,1,3,3,1,5,50000,150,53350,1,2,2,1,1,1,1,2,1001
215,1,72,2,1,1,1,1,2,1,2,20000,500,28000,1,2,2,1,1,1,1,2,1001
216,1,56,1,1,1,1,1,4,1,3,25000,310,30800,2,2,1,2,2,2,1,2,800
217,1,50,2,1,1,1,2,3,1,4,30000,60,24760,1,2,2,2,1,1,1,2,2004
218,1,45,1,1,1,1,3,2,2,5,25000,250,36750,1,2,1,1,1,1,1,2,2500
219,4,21,1,1,1,2,5,2,1,5,30000,310,43000,1,2,1,2,2,2,2,2,2000
220,2,61,1,1,1,1,2,3,1,2,20000,300,34100,1,2,2,2,1,1,1,2,2050
222,1,52,2,1,1,1,3,2,1,5,35000,310,3000,1,2,1,2,2,2,2,2,3200
223,1,50,2,1,1,1,3,3,1,5,80000,310,39000,2,2,2,2,2,2,2,2,1010
224,1,29,1,1,1,1,3,3,2,5,40000,310,32000,1,2,2,1,2,2,2,2,2020
225,1,33,1,1,1,1,4,3,2,6,60000,310,17000,2,2,2,2,1,2,2,2,2500
226,1,45,1,1,1,1,3,1,2,6,72000,310,60800,1,1,2,2,2,2,2,2,1515
227,1,46,2,1,1,1,3,4,2,5,50000,310,32200,2,2,2,1,2,2,2,2,3288
228,1,54,2,1,1,1,2,4,1,5,32000,310,21500,1,2,2,2,2,2,2,2,3240
229,1,50,1,1,1,1,3,2,1,5,34000,310,25400,2,2,2,2,2,2,2,1,3504
230,1,47,1,1,1,1,3,4,1,4,30000,300,18300,1,2,2,1,2,2,2,2,10010
231,5,65,2,1,1,1,1,2,1,2,20000,310,15200,1,2,2,2,2,1,1,2,240
232,1,53,1,1,1,1,3,1,2,5,35000,1000,42500,1,2,1,2,2,2,2,2,2080
233,1,44,1,1,1,1,2,4,1,2,15000,310,8800,2,2,2,2,2,2,2,2,1800
234,1,62,2,1,1,1,4,1,1,1,44000,310,16790,1,2,2,2,2,2,2,2,1200
235,1,49,2,1,1,1,3,3,1,5,50000,1500,29000,1,2,1,1,2,2,2,2,860
236,1,48,2,1,1,1,3,3,1,5,50000,310,51500,2,2,2,1,1,2,2,2,2240
237,1,40,2,1,1,1,3,3,2,5,15000,310,17500,2,2,2,1,2,1,2,2,1660
238,1,40,1,1,1,1,4,1,1,5,44000,310,81800,1,2,1,1,2,1,2,2,1000
239,1,38,1,1,1,1,2,3,2,5,35000,310,28500,1,1,2,1,1,1,1,2,480
240,5,33,2,1,1,1,3,1,2,3,60000,2000,33000,1,2,2,1,2,2,2,2,2100
241,5,40,1,1,1,1,4,2,2,6,60000,500,20500,1,2,2,1,2,2,1,2,1590
249,1,73,2,1,1,1,3,1,1,3,5000,225,23525,1,2,2,2,1,1,1,1,2020
250,1,39,1,1,1,1,4,2,2,5,40000,310,99000,1,2,2,1,2,1,1,2,3028
251,1,39,1,1,1,1,3,4,1,5,20000,310,43100,2,2,2,1,2,1,1,2,0
252,1,58,1,1,1,3,3,4,1,2,25000,310,24500,1,2,2,1,2,2,1,2,1010
253,1,20,1,1,1,2,4,4,1,5,60000,310,31500,1,2,1,2,2,2,1,2,2040
255,1,67,1,1,1,1,5,1,1,4,70000,310,73000,1,2,1,2,2,2,1,2,2040
256,1,50,2,1,1,1,3,2,1,4,100000,310,46000,2,2,1,1,1,2,1,2,480
259,1,63,1,1,1,1,1,4,2,4,47000,700,87200,2,2,1,1,1,1,1,1,640
260,1,54,1,1,1,1,2,4,2,5,35000,500,58500,1,2,2,1,1,1,1,1,1001
261,1,65,1,1,1,2,1,4,1,1,12000,310,12000,1,2,2,1,1,1,1,1,2040
262,1,64,1,1,1,1,3,4,1,2,35000,310,22000,1,2,2,1,1,1,1,1,1040
263,1,63,1,1,1,1,3,4,1,2,50000,310,36500,1,2,2,1,1,1,1,1,2040
264,1,45,1,1,1,1,3,4,1,4,80000,310,79500,2,2,1,1,1,1,1,1,1040
265,1,21,1,1,1,1,3,4,2,7,60000,310,37000,1,1,1,1,1,1,1,1,2040
266,1,46,1,1,1,1,3,2,1,4,60000,1500,54500,2,1,2,2,2,2,2,2,440
267,1,38,1,1,1,1,5,1,2,5,100000,1500,79500,1,2,2,2,2,2,2,2,2002
268,1,49,1,1,1,1,5,1,1,4,40000,1500,77500,1,2,2,2,2,2,2,2,2040
269,1,30,2,1,1,1,1,2,2,6,90000,500,59300,1,1,2,2,2,2,1,2,0
271,1,36,1,1,1,1,3,1,1,6,52000,310,48200,2,2,2,1,2,2,2,2,2060
272,1,28,2,1,1,2,3,3,1,6,20000,310,6230,2,2,2,2,2,2,2,2,2000
273,1,48,1,1,1,1,4,3,1,5,60000,310,34500,2,2,2,2,1,2,2,2,880
280,1,35,2,1,1,5,2,2,1,4,60000,310,36500,1,2,2,1,2,2,2,2,2040
288,1,51,1,1,1,1,2,2,2,5,63000,310,43000,1,2,1,2,2,2,2,2,1500
289,1,30,1,1,1,1,4,1,2,7,60000,310,28500,1,2,2,2,2,2,2,2,0
291,1,49,1,1,1,1,1,3,1,4,42000,250,30750,1,1,2,1,1,1,1,1,1036
294,1,34,1,1,1,1,4,1,1,4,40000,800,67800,1,2,2,1,1,2,2,2,600
